
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   20:54:46  MAR 08, 2017 CP=   2726.469

 pas_susp_dynamics                                                             



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        101 FY      
                  Force   
  0.78125E-06    0.790227E-06
  0.15625E-05    0.155775E-04
  0.23438E-05    0.105101E-03
  0.31250E-05    0.440046E-03
  0.39063E-05    0.135987E-02
  0.46875E-05    0.339409E-02
  0.54688E-05    0.722281E-02
  0.62500E-05    0.135711E-01
  0.70313E-05    0.230508E-01
  0.78125E-05    0.359794E-01
  0.85938E-05    0.522147E-01
  0.93750E-05    0.710466E-01
  0.10156E-04    0.911782E-01
  0.10938E-04    0.110815    
  0.11719E-04    0.127861    
  0.12500E-04    0.140198    
  0.13281E-04    0.146016    
  0.14063E-04    0.144124    
  0.14844E-04    0.134216    
  0.15625E-04    0.117013    
  0.16406E-04    0.942615E-01
  0.17188E-04    0.685828E-01
  0.17969E-04    0.431675E-01
  0.18750E-04    0.213673E-01
  0.19531E-04    0.623281E-02
  0.20312E-04    0.672822E-04
  0.21094E-04    0.406385E-02
  0.21875E-04    0.180857E-01
  0.22656E-04    0.406287E-01
  0.23437E-04    0.689791E-01
  0.24219E-04    0.995518E-01
  0.25000E-04    0.128365    
  0.25781E-04    0.151584    
  0.26562E-04    0.166063    
  0.27344E-04    0.169795    
  0.28125E-04    0.162211    
  0.28906E-04    0.144284    
  0.29687E-04    0.118400    
  0.30469E-04    0.880450E-01
  0.31250E-04    0.573111E-01
  0.32031E-04    0.303269E-01
  0.32812E-04    0.106711E-01
  0.33594E-04    0.864660E-03
  0.34375E-04    0.201411E-02
  0.35156E-04    0.136582E-01
  0.35937E-04    0.338417E-01
  0.36719E-04    0.594058E-01
  0.37500E-04    0.864533E-01
  0.38281E-04    0.110919    
  0.39063E-04    0.129166    
  0.39844E-04    0.138509    
  0.40625E-04    0.137606    
  0.41406E-04    0.126641    
  0.42188E-04    0.107283    
  0.42969E-04    0.824287E-01
  0.43750E-04    0.557593E-01
  0.44531E-04    0.311886E-01
  0.45313E-04    0.122766E-01
  0.46094E-04    0.170108E-02
  0.46875E-04    0.864875E-03
  0.47656E-04    0.969618E-02
  0.48438E-04    0.266717E-01
  0.49219E-04    0.490579E-01
  0.50000E-04    0.733326E-01
  0.50781E-04    0.957233E-01
  0.51563E-04    0.112780    
  0.52344E-04    0.121894    
  0.53125E-04    0.121692    
  0.53906E-04    0.112233    
  0.54688E-04    0.949939E-01
  0.55469E-04    0.726339E-01
  0.56250E-04    0.485863E-01
  0.57031E-04    0.265289E-01
  0.57813E-04    0.982233E-02
  0.58594E-04    0.997948E-03
  0.59375E-04    0.137348E-02
  0.60156E-04    0.108555E-01
  0.60938E-04    0.279577E-01
  0.61719E-04    0.500313E-01
  0.62500E-04    0.736727E-01
  0.63281E-04    0.952459E-01
  0.64063E-04    0.111438    
  0.64844E-04    0.119768    
  0.65625E-04    0.118960    
  0.66406E-04    0.109143    
  0.67188E-04    0.918264E-01
  0.67969E-04    0.696684E-01
  0.68750E-04    0.460689E-01
  0.69531E-04    0.246494E-01
  0.70313E-04    0.869885E-02
  0.71094E-04    0.670587E-03
  0.71875E-04    0.180748E-02
  0.72656E-04    0.119516E-01
  0.73437E-04    0.295681E-01
  0.74219E-04    0.519790E-01
  0.75000E-04    0.757724E-01
  0.75781E-04    0.973222E-01
  0.76562E-04    0.113343    
  0.77344E-04    0.121389    
  0.78125E-04    0.120232    
  0.78906E-04    0.110045    
  0.79687E-04    0.923801E-01
  0.80469E-04    0.699290E-01
  0.81250E-04    0.461165E-01
  0.82031E-04    0.245768E-01
  0.82812E-04    0.859996E-02
  0.83594E-04    0.630379E-03
  0.84375E-04    0.189363E-02
  0.85156E-04    0.122091E-01
  0.85937E-04    0.300168E-01
  0.86719E-04    0.526142E-01
  0.87500E-04    0.765676E-01
  0.88281E-04    0.982346E-01
  0.89062E-04    0.114319    
  0.89844E-04    0.122372    
  0.90625E-04    0.121167    
  0.91406E-04    0.110885    
  0.92187E-04    0.930902E-01
  0.92969E-04    0.704889E-01
  0.93750E-04    0.465205E-01
  0.94531E-04    0.248331E-01
  0.95312E-04    0.872833E-02
  0.96094E-04    0.659033E-03
  0.96875E-04    0.185537E-02
  0.97656E-04    0.121376E-01
  0.98437E-04    0.299429E-01
  0.99219E-04    0.525636E-01
  0.10000E-03    0.765585E-01
  0.10078E-03    0.982767E-01
  0.10156E-03    0.114414    
  0.10234E-03    0.122514    
  0.10312E-03    0.121344    
  0.10391E-03    0.111082    
  0.10469E-03    0.932892E-01
  0.10547E-03    0.706732E-01
  0.10625E-03    0.466753E-01
  0.10703E-03    0.249473E-01
  0.10781E-03    0.879540E-02
  0.10859E-03    0.677009E-03
  0.10937E-03    0.182691E-02
  0.11016E-03    0.120692E-01
  0.11094E-03    0.298440E-01
  0.11172E-03    0.524450E-01
  0.11250E-03    0.764316E-01
  0.11328E-03    0.981523E-01
  0.11406E-03    0.114300    
  0.11484E-03    0.122418    
  0.11562E-03    0.121270    
  0.11641E-03    0.111031    
  0.11719E-03    0.932588E-01
  0.11797E-03    0.706602E-01
  0.11875E-03    0.466747E-01
  0.11953E-03    0.249534E-01
  0.12031E-03    0.880232E-02
  0.12109E-03    0.679720E-03
  0.12187E-03    0.182140E-02
  0.12266E-03    0.120528E-01
  0.12344E-03    0.298158E-01
  0.12422E-03    0.524054E-01
  0.12500E-03    0.763823E-01
  0.12578E-03    0.980960E-01
  0.12656E-03    0.114241    
  0.12734E-03    0.122358    
  0.12812E-03    0.121213    
  0.12891E-03    0.110980    
  0.12969E-03    0.932159E-01
  0.13047E-03    0.706265E-01
  0.13125E-03    0.466505E-01
  0.13203E-03    0.249381E-01
  0.13281E-03    0.879470E-02
  0.13359E-03    0.678005E-03
  0.13437E-03    0.182357E-02
  0.13516E-03    0.120569E-01
  0.13594E-03    0.298197E-01
  0.13672E-03    0.524078E-01
  0.13750E-03    0.763821E-01
  0.13828E-03    0.980926E-01
  0.13906E-03    0.114234    
  0.13984E-03    0.122349    
  0.14062E-03    0.121202    
  0.14141E-03    0.110967    
  0.14219E-03    0.932034E-01
  0.14297E-03    0.706151E-01
  0.14375E-03    0.466409E-01
  0.14453E-03    0.249310E-01
  0.14531E-03    0.879059E-02
  0.14609E-03    0.676901E-03
  0.14687E-03    0.182529E-02
  0.14766E-03    0.120610E-01
  0.14844E-03    0.298257E-01
  0.14922E-03    0.524149E-01
  0.15000E-03    0.763897E-01
  0.15078E-03    0.981000E-01
  0.15156E-03    0.114241    
  0.15234E-03    0.122354    
  0.15312E-03    0.121206    
  0.15391E-03    0.110970    
  0.15469E-03    0.932051E-01
  0.15547E-03    0.706157E-01
  0.15625E-03    0.466408E-01
  0.15703E-03    0.249306E-01
  0.15781E-03    0.879011E-02
  0.15859E-03    0.676724E-03
  0.15937E-03    0.182565E-02
  0.16016E-03    0.120620E-01
  0.16094E-03    0.298275E-01
  0.16172E-03    0.524174E-01
  0.16250E-03    0.763928E-01
  0.16328E-03    0.981035E-01
  0.16406E-03    0.114244    
  0.16484E-03    0.122358    
  0.16562E-03    0.121209    
  0.16641E-03    0.110973    
  0.16719E-03    0.932076E-01
  0.16797E-03    0.706177E-01
  0.16875E-03    0.466423E-01
  0.16953E-03    0.249315E-01
  0.17031E-03    0.879056E-02
  0.17109E-03    0.676823E-03
  0.17187E-03    0.182552E-02
  0.17266E-03    0.120618E-01
  0.17344E-03    0.298273E-01
  0.17422E-03    0.524173E-01
  0.17500E-03    0.763928E-01
  0.17578E-03    0.981037E-01
  0.17656E-03    0.114245    
  0.17734E-03    0.122359    
  0.17812E-03    0.121210    
  0.17891E-03    0.110974    
  0.17969E-03    0.932084E-01
  0.18047E-03    0.706184E-01
  0.18125E-03    0.466429E-01
  0.18203E-03    0.249319E-01
  0.18281E-03    0.879081E-02
  0.18359E-03    0.676890E-03
  0.18437E-03    0.182542E-02
  0.18516E-03    0.120615E-01
  0.18594E-03    0.298269E-01
  0.18672E-03    0.524169E-01
  0.18750E-03    0.763924E-01
  0.18828E-03    0.981033E-01
  0.18906E-03    0.114244    
  0.18984E-03    0.122358    
  0.19062E-03    0.121210    
  0.19141E-03    0.110974    
  0.19219E-03    0.932083E-01
  0.19297E-03    0.706184E-01
  0.19375E-03    0.466429E-01
  0.19453E-03    0.249320E-01
  0.19531E-03    0.879084E-02
  0.19609E-03    0.676902E-03
  0.19687E-03    0.182540E-02
  0.19766E-03    0.120615E-01
  0.19844E-03    0.298268E-01
  0.19922E-03    0.524167E-01
  0.20000E-03    0.763922E-01
  0.20078E-03    0.981031E-01
  0.20156E-03    0.114244    
  0.20234E-03    0.122358    
  0.20312E-03    0.121210    
  0.20391E-03    0.110973    
  0.20469E-03    0.932082E-01
  0.20547E-03    0.706182E-01
  0.20625E-03    0.466428E-01
  0.20703E-03    0.249319E-01
  0.20781E-03    0.879082E-02
  0.20859E-03    0.676896E-03
  0.20937E-03    0.182540E-02
  0.21016E-03    0.120615E-01
  0.21094E-03    0.298268E-01
  0.21172E-03    0.524167E-01
  0.21250E-03    0.763922E-01
  0.21328E-03    0.981031E-01
  0.21406E-03    0.114244    
  0.21484E-03    0.122358    
  0.21562E-03    0.121210    
  0.21641E-03    0.110973    
  0.21719E-03    0.932081E-01
  0.21797E-03    0.706182E-01
  0.21875E-03    0.466428E-01
  0.21953E-03    0.249319E-01
  0.22031E-03    0.879080E-02
  0.22109E-03    0.676892E-03
  0.22187E-03    0.182541E-02
  0.22266E-03    0.120615E-01
  0.22344E-03    0.298268E-01
  0.22422E-03    0.524168E-01
  0.22500E-03    0.763922E-01
  0.22578E-03    0.981031E-01
  0.22656E-03    0.114244    
  0.22734E-03    0.122358    
  0.22812E-03    0.121210    
  0.22891E-03    0.110973    
  0.22969E-03    0.932081E-01
  0.23047E-03    0.706182E-01
  0.23125E-03    0.466428E-01
  0.23203E-03    0.249319E-01
  0.23281E-03    0.879080E-02
  0.23359E-03    0.676891E-03
  0.23437E-03    0.182541E-02
  0.23516E-03    0.120615E-01
  0.23594E-03    0.298268E-01
  0.23672E-03    0.524168E-01
  0.23750E-03    0.763922E-01
  0.23828E-03    0.981031E-01
  0.23906E-03    0.114244    
  0.23984E-03    0.122358    
  0.24062E-03    0.121210    
  0.24141E-03    0.110973    
  0.24219E-03    0.932081E-01
  0.24297E-03    0.706182E-01
  0.24375E-03    0.466428E-01
  0.24453E-03    0.249319E-01
  0.24531E-03    0.879080E-02
  0.24609E-03    0.676892E-03
  0.24687E-03    0.182541E-02
  0.24766E-03    0.120615E-01
  0.24844E-03    0.298268E-01
  0.24922E-03    0.524168E-01
  0.25000E-03    0.763922E-01
  0.25078E-03    0.981031E-01
  0.25156E-03    0.114244    
  0.25234E-03    0.122358    
  0.25312E-03    0.121210    
  0.25391E-03    0.110973    
  0.25469E-03    0.932081E-01
  0.25547E-03    0.706182E-01
  0.25625E-03    0.466428E-01
  0.25703E-03    0.249319E-01
  0.25781E-03    0.879080E-02
  0.25859E-03    0.676892E-03
  0.25937E-03    0.182541E-02
  0.26016E-03    0.120615E-01
  0.26094E-03    0.298268E-01
  0.26172E-03    0.524168E-01
  0.26250E-03    0.763922E-01
  0.26328E-03    0.981031E-01
  0.26406E-03    0.114244    
  0.26484E-03    0.122358    
  0.26562E-03    0.121210    
  0.26641E-03    0.110973    
  0.26719E-03    0.932081E-01
  0.26797E-03    0.706182E-01
  0.26875E-03    0.466428E-01
  0.26953E-03    0.249319E-01
  0.27031E-03    0.879080E-02
  0.27109E-03    0.676892E-03
  0.27187E-03    0.182541E-02
  0.27266E-03    0.120615E-01
  0.27344E-03    0.298268E-01
  0.27422E-03    0.524168E-01
  0.27500E-03    0.763922E-01
  0.27578E-03    0.981031E-01
  0.27656E-03    0.114244    
  0.27734E-03    0.122358    
  0.27812E-03    0.121210    
  0.27891E-03    0.110973    
  0.27969E-03    0.932081E-01
  0.28047E-03    0.706182E-01
  0.28125E-03    0.466428E-01
  0.28203E-03    0.249319E-01
  0.28281E-03    0.879080E-02
  0.28359E-03    0.676892E-03
  0.28438E-03    0.182541E-02
  0.28516E-03    0.120615E-01
  0.28594E-03    0.298268E-01
  0.28672E-03    0.524168E-01
  0.28750E-03    0.763922E-01
  0.28828E-03    0.981031E-01
  0.28906E-03    0.114244    
  0.28984E-03    0.122358    
  0.29063E-03    0.121210    
  0.29141E-03    0.110973    
  0.29219E-03    0.932081E-01
  0.29297E-03    0.706182E-01
  0.29375E-03    0.466428E-01
  0.29453E-03    0.249319E-01
  0.29531E-03    0.879080E-02
  0.29609E-03    0.676892E-03
  0.29688E-03    0.182541E-02
  0.29766E-03    0.120615E-01
  0.29844E-03    0.298268E-01
  0.29922E-03    0.524168E-01
  0.30000E-03    0.763922E-01
  0.30078E-03    0.981031E-01
  0.30156E-03    0.114244    
  0.30234E-03    0.122358    
  0.30313E-03    0.121210    
  0.30391E-03    0.110973    
  0.30469E-03    0.932081E-01
  0.30547E-03    0.706182E-01
  0.30625E-03    0.466428E-01
  0.30703E-03    0.249319E-01
  0.30781E-03    0.879080E-02
  0.30859E-03    0.676892E-03
  0.30938E-03    0.182541E-02
  0.31016E-03    0.120615E-01
  0.31094E-03    0.298268E-01
  0.31172E-03    0.524168E-01
  0.31250E-03    0.763922E-01
  0.31328E-03    0.981031E-01
  0.31406E-03    0.114244    
  0.31484E-03    0.122358    
  0.31563E-03    0.121210    
  0.31641E-03    0.110973    
  0.31719E-03    0.932081E-01
  0.31797E-03    0.706182E-01
  0.31875E-03    0.466428E-01
  0.31953E-03    0.249319E-01
  0.32031E-03    0.879080E-02
  0.32109E-03    0.676892E-03
  0.32188E-03    0.182541E-02
  0.32266E-03    0.120615E-01
  0.32344E-03    0.298268E-01
  0.32422E-03    0.524168E-01
  0.32500E-03    0.763922E-01
  0.32578E-03    0.981031E-01
  0.32656E-03    0.114244    
  0.32734E-03    0.122358    
  0.32813E-03    0.121210    
  0.32891E-03    0.110973    
  0.32969E-03    0.932081E-01
  0.33047E-03    0.706182E-01
  0.33125E-03    0.466428E-01
  0.33203E-03    0.249319E-01
  0.33281E-03    0.879080E-02
  0.33359E-03    0.676892E-03
  0.33438E-03    0.182541E-02
  0.33516E-03    0.120615E-01
  0.33594E-03    0.298268E-01
  0.33672E-03    0.524168E-01
  0.33750E-03    0.763922E-01
  0.33828E-03    0.981031E-01
  0.33906E-03    0.114244    
  0.33984E-03    0.122358    
  0.34063E-03    0.121210    
  0.34141E-03    0.110973    
  0.34219E-03    0.932081E-01
  0.34297E-03    0.706182E-01
  0.34375E-03    0.466428E-01
  0.34453E-03    0.249319E-01
  0.34531E-03    0.879080E-02
  0.34609E-03    0.676892E-03
  0.34688E-03    0.182541E-02
  0.34766E-03    0.120615E-01
  0.34844E-03    0.298268E-01
  0.34922E-03    0.524168E-01
  0.35000E-03    0.763922E-01
  0.35078E-03    0.981031E-01
  0.35156E-03    0.114244    
  0.35234E-03    0.122358    
  0.35313E-03    0.121210    
  0.35391E-03    0.110973    
  0.35469E-03    0.932081E-01
  0.35547E-03    0.706182E-01
  0.35625E-03    0.466428E-01
  0.35703E-03    0.249319E-01
  0.35781E-03    0.879080E-02
  0.35859E-03    0.676892E-03
  0.35938E-03    0.182541E-02
  0.36016E-03    0.120615E-01
  0.36094E-03    0.298268E-01
  0.36172E-03    0.524168E-01
  0.36250E-03    0.763922E-01
  0.36328E-03    0.981031E-01
  0.36406E-03    0.114244    
  0.36484E-03    0.122358    
  0.36563E-03    0.121210    
  0.36641E-03    0.110973    
  0.36719E-03    0.932081E-01
  0.36797E-03    0.706182E-01
  0.36875E-03    0.466428E-01
  0.36953E-03    0.249319E-01
  0.37031E-03    0.879080E-02
  0.37109E-03    0.676892E-03
  0.37188E-03    0.182541E-02
  0.37266E-03    0.120615E-01
  0.37344E-03    0.298268E-01
  0.37422E-03    0.524168E-01
  0.37500E-03    0.763922E-01
  0.37578E-03    0.981031E-01
  0.37656E-03    0.114244    
  0.37734E-03    0.122358    
  0.37813E-03    0.121210    
  0.37891E-03    0.110973    
  0.37969E-03    0.932081E-01
  0.38047E-03    0.706182E-01
  0.38125E-03    0.466428E-01
  0.38203E-03    0.249319E-01
  0.38281E-03    0.879080E-02
  0.38359E-03    0.676892E-03
  0.38438E-03    0.182541E-02
  0.38516E-03    0.120615E-01
  0.38594E-03    0.298268E-01
  0.38672E-03    0.524168E-01
  0.38750E-03    0.763922E-01
  0.38828E-03    0.981031E-01
  0.38906E-03    0.114244    
  0.38984E-03    0.122358    
  0.39063E-03    0.121210    
  0.39141E-03    0.110973    
  0.39219E-03    0.932081E-01
  0.39297E-03    0.706182E-01
  0.39375E-03    0.466428E-01
  0.39453E-03    0.249319E-01
  0.39531E-03    0.879080E-02
  0.39609E-03    0.676892E-03
  0.39688E-03    0.182541E-02
  0.39766E-03    0.120615E-01
  0.39844E-03    0.298268E-01
  0.39922E-03    0.524168E-01
  0.40000E-03    0.763922E-01
  0.40078E-03    0.981031E-01
  0.40156E-03    0.114244    
  0.40234E-03    0.122358    
  0.40313E-03    0.121210    
  0.40391E-03    0.110973    
  0.40469E-03    0.932081E-01
  0.40547E-03    0.706182E-01
  0.40625E-03    0.466428E-01
  0.40703E-03    0.249319E-01
  0.40781E-03    0.879080E-02
  0.40859E-03    0.676892E-03
  0.40938E-03    0.182541E-02
  0.41016E-03    0.120615E-01
  0.41094E-03    0.298268E-01
  0.41172E-03    0.524168E-01
  0.41250E-03    0.763922E-01
  0.41328E-03    0.981031E-01
