
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   20:54:46  MAR 08, 2017 CP=   2726.672

 pas_susp_dynamics                                                             



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        101 VOLT    
                  VOLT    
  0.78125E-06   -0.179634E-01
  0.15625E-05   -0.797554E-01
  0.23438E-05   -0.207164    
  0.31250E-05   -0.423897    
  0.39063E-05   -0.745179    
  0.46875E-05    -1.17726    
  0.54688E-05    -1.71737    
  0.62500E-05    -2.35407    
  0.70313E-05    -3.06800    
  0.78125E-05    -3.83300    
  0.85938E-05    -4.61751    
  0.93750E-05    -5.38621    
  0.10156E-04    -6.10179    
  0.10938E-04    -6.72684    
  0.11719E-04    -7.22571    
  0.12500E-04    -7.56630    
  0.13281E-04    -7.72167    
  0.14063E-04    -7.67149    
  0.14844E-04    -7.40311    
  0.15625E-04    -6.91239    
  0.16406E-04    -6.20410    
  0.17188E-04    -5.29199    
  0.17969E-04    -4.19846    
  0.18750E-04    -2.95384    
  0.19531E-04    -1.59534    
  0.20312E-04   -0.165753    
  0.21094E-04     1.28819    
  0.21875E-04     2.71756    
  0.22656E-04     4.07313    
  0.23437E-04     5.30726    
  0.24219E-04     6.37582    
  0.25000E-04     7.23993    
  0.25781E-04     7.86753    
  0.26562E-04     8.23471    
  0.27344E-04     8.32672    
  0.28125E-04     8.13865    
  0.28906E-04     7.67574    
  0.29687E-04     6.95326    
  0.30469E-04     5.99603    
  0.31250E-04     4.83761    
  0.32031E-04     3.51905    
  0.32812E-04     2.08745    
  0.33594E-04    0.594202    
  0.34375E-04   -0.906886    
  0.35156E-04    -2.36161    
  0.35937E-04    -3.71739    
  0.36719E-04    -4.92523    
  0.37500E-04    -5.94159    
  0.38281E-04    -6.73001    
  0.39063E-04    -7.26249    
  0.39844E-04    -7.52058    
  0.40625E-04    -7.49603    
  0.41406E-04    -7.19116    
  0.42188E-04    -6.61878    
  0.42969E-04    -5.80164    
  0.43750E-04    -4.77167    
  0.44531E-04    -3.56870    
  0.45313E-04    -2.23898    
  0.46094E-04   -0.833440    
  0.46875E-04    0.594276    
  0.47656E-04     1.98981    
  0.48438E-04     3.30018    
  0.49219E-04     4.47575    
  0.50000E-04     5.47218    
  0.50781E-04     6.25202    
  0.51563E-04     6.78620    
  0.52344E-04     7.05510    
  0.53125E-04     7.04925    
  0.53906E-04     6.76975    
  0.54688E-04     6.22816    
  0.55469E-04     5.44605    
  0.56250E-04     4.45419    
  0.57031E-04     3.29133    
  0.57813E-04     2.00271    
  0.58594E-04    0.638360    
  0.59375E-04   -0.748897    
  0.60156E-04    -2.10541    
  0.60938E-04    -3.37880    
  0.61719E-04    -4.51994    
  0.62500E-04    -5.48485    
  0.63281E-04    -6.23641    
  0.64063E-04    -6.74573    
  0.64844E-04    -6.99329    
  0.65625E-04    -6.96966    
  0.66406E-04    -6.67590    
  0.67188E-04    -6.12344    
  0.67969E-04    -5.33371    
  0.68750E-04    -4.33726    
  0.69531E-04    -3.17260    
  0.70313E-04    -1.88470    
  0.71094E-04   -0.523286    
  0.71875E-04    0.859109    
  0.72656E-04     2.20915    
  0.73437E-04     3.47475    
  0.74219E-04     4.60708    
  0.75000E-04     5.56246    
  0.75781E-04     6.30402    
  0.76562E-04     6.80312    
  0.77344E-04     7.04047    
  0.78125E-04     7.00683    
  0.78906E-04     6.70344    
  0.79687E-04     6.14187    
  0.80469E-04     5.34368    
  0.81250E-04     4.33950    
  0.82031E-04     3.16792    
  0.82812E-04     1.87396    
  0.83594E-04    0.507356    
  0.84375E-04   -0.879345    
  0.85156E-04    -2.23282    
  0.85937E-04    -3.50101    
  0.86719E-04    -4.63514    
  0.87500E-04    -5.59158    
  0.88281E-04    -6.33350    
  0.89062E-04    -6.83236    
  0.89844E-04    -7.06891    
  0.90625E-04    -7.03401    
  0.91406E-04    -6.72897    
  0.92187E-04    -6.16543    
  0.92969E-04    -5.36503    
  0.93750E-04    -4.35847    
  0.94531E-04    -3.18439    
  0.95312E-04    -1.88789    
  0.96094E-04   -0.518759    
  0.96875E-04    0.870417    
  0.97656E-04     2.22627    
  0.98437E-04     3.49670    
  0.99219E-04     4.63292    
  0.10000E-03     5.59124    
  0.10078E-03     6.33486    
  0.10156E-03     6.83519    
  0.10234E-03     7.07300    
  0.10312E-03     7.03915    
  0.10391E-03     6.73493    
  0.10469E-03     6.17202    
  0.10547E-03     5.37204    
  0.10625E-03     4.36572    
  0.10703E-03     3.19171    
  0.10781E-03     1.89513    
  0.10859E-03    0.525786    
  0.10937E-03   -0.863715    
  0.11016E-03    -2.21999    
  0.11094E-03    -3.49092    
  0.11172E-03    -4.62769    
  0.11250E-03    -5.58661    
  0.11328E-03    -6.33085    
  0.11406E-03    -6.83181    
